time_ms,exit_code,path_size,path,buffer_size,buffer,num_states,num_controls
,,,2.13259,,0.00914712,,
,,,0.24535,,0.14725,,
,,,0.53,,0.0444,,
,,,-0.589,,0.0982,,
,,,225,,21,,
,,,213,,5,,
,,,-1,,-1,,
,,,21,,2,,
,,,4.03677,,6.86861,,
,,,0.89355,,0.07777,,
,,,3.61297,,0.388294,,
,,,2.17937,,0.01525,,
,,,0.3435,,-0.0491,,
,,,0.3333,,0.4444,,
,,,0.1963,,-0.2945,,
,,,238,,22,,
,,,225,,5,,
,,,243,,-1,,
,,,22,,2,,
,,,3.90203,,6.90754,,
,,,0.94022,,0.05777,,
,,,3.8212,,0.286021,,
,,,2.28287,,0.0303188,,
,,,0.638,,0.3436,,
,,,0.4667,,0.2444,,
,,,0.589,,0.4909,,
,,,246,,30,,
,,,238,,16,,
,,,254,,34,,
,,,23,,3,,
,,,3.74795,,6.81682,,
,,,0.99322,,0.09333,,
,,,4.05035,,0.463964,,
,,,2.41414,,0.0371645,,
,,,0.3435,,-0.1473,,
,,,0.53,,0.2667,,
,,,-0.589,,-0.6872,,
,,,260,,24,,
,,,246,,16,,
,,,265,,-1,,
,,,24,,3,,
,,,3.6306,,6.8298,,
,,,1.03989,,0.08666,,
,,,4.25858,,0.430627,,
,,,2.51764,,0.0410878,,
,,,0.638,,-4.99934e-05,,
,,,0.4667,,0.2,,
,,,0.589,,-0.3927,,
,,,272,,25,,
,,,260,,16,,
,,,-1,,-1,,
,,,25,,3,,
,,,3.56466,,6.84233,,
,,,1.06656,,0.07999,,
,,,4.37502,,0.395523,,
,,,2.58134,,0.0474175,,
,,,0.2944,,0.39265,,
,,,0.2667,,0.1333,,
,,,-0.6872,,0.3927,,
,,,,,26,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.74598,,
,,,,,0.11966,,
,,,,,0.594741,,
,,,,,0.0500662,,
,,,,,-0.0982,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,27,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.78065,,
,,,,,0.09999,,
,,,,,0.493458,,
,,,,,0.0682361,,
,,,,,0.29445,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,28,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.86629,,
,,,,,0.07333,,
,,,,,0.3644,,
,,,,,0.0345708,,
,,,,,0.09815,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,29,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.72977,,
,,,,,0.11333,,
,,,,,0.552637,,
,,,,,0.101203,,
,,,,,0.4908,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,30,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.81682,,
,,,,,0.09333,,
,,,,,0.463964,,
,,,,,0.0371645,,
,,,,,-0.1473,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,31,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.87207,,
,,,,,0.0711,,
,,,,,0.353155,,
,,,,,0.0341133,,
,,,,,0.2454,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,32,,
,,,,,16,,
,,,,,-1,,
,,,,,3,,
,,,,,6.75911,,
,,,,,0.1111,,
